category_name_texts,article_title_texts,article_title_links,headline,date,article_text
Law & Government,What is the licensing framework for online news sites all about?,/factually/content/what-is-the-licensing-framework-for-online-news-sites-all-about,"
                What is the licensing framework for online news sites all about?
            ","
                    19 Feb 2018
                ","What is the licensing framework for online news sites all about? 
News websites which report regularly on Singapore and have a significant reach will be individually licensed. Currently all traditional news providers are individually licensed under the Broadcasting Act (TV broadcasters) and the Newspaper and Printing Presses Act (newspapers) respectively. Licensing news providers on an individual basis helps to ensure that they are responsible and accountable for the content they put out, be it on television, print or online.  
So why introduce the new framework and what is the difference?
Governments around the world are thinking about how to deal with the regulatory challenges posed by changes to the media landscape. Technological advances have blurred the distinctions between traditional forms of media such as print, film and broadcast. But what has not changed is the role of news providers, and the public’s expectation that they report responsibly instead of operating contrary to the public interest. This concern is often addressed through some form of regulation or oversight. Changes in how news providers operate have necessitated discussions on how best to update these regulatory frameworks. The United Kingdom and New Zealand are examples of countries where such discussions are taking place. But each country’s situation is unique, and the solutions considered and adopted are thus different. 
In Singapore, we are updating our regulatory framework in recognition of the changes to the media landscape. The new framework will bring greater parity to how we regulate news providers across different forms of media.
Internet content providers in Singapore are already automatically class-licensed under the Broadcasting Act. Class licensees are required to comply with the Class Licence conditions and the Internet Code of Practice, which are guidelines about what our community regards as offensive or harmful.  Content should not “go against public interest, public order, national harmony, and/or offends against good taste or decency”.  For instance, pornographic content, extremist messages and racially or religiously-insensitive content should not be put up on the Internet. So with this class licence already in place, there is a baseline standard of responsibility for what we publish online. 
Since the Class Licence was introduced in 1996, MDA has asked websites to remove content that was in breach of content guidelines only 24 times. Only one instance was for content that was religiously-insensitive, and most other instances had to do with pornographic material or advertisements soliciting sex. There has not been an instance where MDA has directed sites to take down content that is critical of the Government or any Minister. 
Under the new framework, online news sites will no longer be class licensed, but will be licensed on an individual basis. This helps to ensure that they are responsible for the content they provide to the public. But the Internet Code of Practice and content standards have not changed. You can find out more about the Internet Code of Practice here: http://www.mda.gov.sg/Documents/PDF/licences/mobj.981.Internet_Code_of_Practice.pdf

Who are affected by the new framework and what must they do to comply?
With the Media Development Authority’s (MDA) new licensing framework, online news sites will be shifted from the class licence to an individual licence, if they:
Personal blogs by their nature do not consistently provide “news, intelligence, report of occurrence, or any matter of public interest”. Hence, MDA has explained that personal blogs will not be affected so long as they do not morph into news sites. 
MDA has identified the following 10 sites as having met the criteria and will be working closely with the providers of these websites to bring them under the new licensing framework:
Licensed sites will need to:
"
Economy & Finance,Have our real incomes been stagnating?,/factually/content/have-our-real-incomes-been-stagnating,"
                Have our real incomes been stagnating?
            ","
                    09 Jul 2015
                ","The majority of Singaporean workers and households have seen growth in their real incomes in the five-year period from 2007 to 2012. Real income growth in 2007-2012 was also stronger than in the earlier five-year period of 2002-2007. 
For the lower 20 percent of Singaporeans, income growth was weak or negative in 2002-2007, and only recovered in the last five years (2007-2012). 
Individual wages 
The median worker saw real wage growth of 9.3% in 2007-2012. However, in the previous five years from 2002 to 2007, real wages of the median worker declined by 0.2% [Chart 1].
Real wages of the worker at the 20th percentile grew more slowly at 4.4% in 2007-2012, offsetting a fall by 3.7% from 2002 to 2007.
Note that the figures for real income growth are after deducting ‘All-Items CPI’ inflation. This includes costs of imputed rentals on owner-occupied homes, which are not actual cash expenditures. Real income growth in the last five years was stronger when excluding this item – at 8.2% and 13.2% respectively for the 20th percentile and median income worker in 2007-2012 (see footnote to Chart 1).  
Chart 1: Change in the Real Gross Monthly Income from Work (including employer CPF contributions) of full-time employed Singapore Citizen, 2002-2007 & 2007-2012 (June)


Source: MOM
Note: Deflating by CPI excluding imputed rentals on owner-occupied accommodation, the cumulative real growth for the 20th percentile and median income are -4.5% and -1.1% respectively in 2002-2007 and 8.2% and 13.2% respectively in 2007-2012.
Household income
Similarly, real median monthly household income from work on a per household member basis has increased by 13.9% in the last five years (2007-2012), after growing by 7.9% in the previous five years (2002-2007) [Chart 2].
Real income growth at the 20th percentile was also stronger in the second half of the decade (10.2%) than the first half (4.4%). 
Real income growth in the last five years was stronger when excluding imputed rentals on owner-occupied homes  – at 19.2% and 18.8% respectively for the 20th percentile and median income household in 2007-2012 (see footnote to Chart 2).
Chart 2: Cumulative Real Change in Monthly Household Income from Work Per Household Member Among Employed Singaporean Households, 2002-2007 & 2007-2012.

Source: DOS
* Deflating by CPI excluding imputed rentals on owner-occupied accommodation, the cumulative real growth for the 20th percentile and median income households are 3.1% and 7.2% respectively in 2002-2007 and 19.2% and 18.8% respectively in 2007-2012.
Household income from work includes employer CPF contributions.
 
International comparisons of real income growth
Slowing or stagnating incomes are a challenge for most developed countries, and the more developed ones in Asia. Chart 3 compares real income growth in Singapore with that in similar Asian economies. The median Singaporean household has seen its real income grow more than twice as fast as that in Hong Kong, and more so compared to South Korea and Taiwan.
 
Chart 3: Real Growth of Median Total Household Incomes after Accounting for Taxes and Transfers, 2007-2011 (Cumulative)

Source: Data from National Statistical Offices and the IMF
"
Economy & Finance,Is Purchasing Power in Singapore low? ,/factually/content/is-purchasing-power-in-singapore-low,"
                Is Purchasing Power in Singapore low? 
            ","
                    19 Feb 2018
                ","A more detailed analysis of the UBS report can be found at: http://lkyspp.nus.edu.sg/aci/wp-content/uploads/sites/4/2013/04/20110503_UBS_ACI_Wages_Comparison_report.pdf 
Some other international reports with a similar expatriate focus are the EIU Cost of Living survey and Mercer report.
A study by the Asia Competitiveness Institute used extensive international estimates and data by the World Bank and International Labour Organization to compare purchasing power in different cities.  It found that the cost of living was high for expatriates as compared to other cities, but not for Singapore residents. The Institute also calculated the purchasing power of average wages based on a local resident’s cost of living and found that an average worker here has 34 per cent more purchasing power than one in New York. This is in contrast with the UBS report, where our purchasing power was only 33% that of New York’s. More details on this study are available at:  http://lkyspp.nus.edu.sg/aci/wp-content/uploads/sites/4/2013/06/2012_ACIConf_Cost-of-Living.pdf 
"
Law & Government,Is NEA really breaking into our homes to do dengue checks?,/factually/content/is-nea-really-breaking-into-our-homes-to-do-dengue-checks,"
                Is NEA really breaking into our homes to do dengue checks?
            ","
                    19 Feb 2018
                ","Everyone must play a part in controlling and preventing the spread of Aedes mosquitos and in our fight against dengue. As the number of dengue cases and clustrs increases, NEA has stepped up their surveillance measures. As part of their prevention and control strategy, NEA officers are carrying out door to door inspections and enforcement to quickly identify and remove potential breeding grounds.
When a dengue cluster is detected, NEA officers are deployed to the neighbourhood to inspect all homes and the surrounding locations. If NEA officers are unable to contact the owners of a home despite repeated attempts, they will, under the Control of Vectors and Pesticides Act (CVPA), gain entry into the premises to check for mosquito breeding grounds with the assistance of a locksmith. This is done under supervision by senior NEA officers and Town council representatives and is carried out to ensure that a vacated unit does not become a breeding ground for Aedes mosquitos and the compromise the lives of those in the neighbourhood. 
"
Transport & Motoring,What are some of the initiatives planned to beef up our transport system?,/factually/content/what-are-some-of-the-initiatives-planned-to-beef-up-our-transport-system,"
                What are some of the initiatives planned to beef up our transport system?
            ","
                    19 Feb 2018
                ","We are planning our public transport system to meet the transportation needs of Singaporeans in 2030 with sufficient buffer. Commuters can look forward to a better travel experience, with more reliable rides.
1. Long-Term Transport Plan
By 2030, our rail network will be doubled to about 360 kilometres. Five more lines across the island  would have been completed – the Downtown Line, Thomson Line, Eastern Region Line, Cross Island Line and Jurong Region Line to join the four that we already have. 
With an expanded public transport network and greater capacity, eight in 10 households will be within a 10-minute walk from a train station. 90% of buildings in the CBD will similarly be within a five-minute walk. The rail network will cover almost all key regions of Singapore and reduce dependency on bus feeder services.
2. More Trains and Buses 
Capacity in our rail and bus network will grow over the next five years. Between now and 2017, the Downtown Line will open in phases and this will significantly increase capacity to the east-west corridor. Completed re-signalling work for the existing North-South and East-West Lines will increase peak hour capacity by 20%. The delivery of new trains will also add about 70% more total capacity to the northeast corridor, and 60% more capacity to the Circle Line by 2015.
During off-peak hours and weekends, commuters can expect trains to arrive more frequently. Waiting times for trains will not exceed five minutes except for very early morning and very late night train services. This is targeted to roll out for the North-South and East-West Lines this year, and will extend to the other MRT lines by around 2015.
Bus Service Enhancement Programme

Since the launch of the Bus Service Enhancement Programme (BSEP) in September 2012, about 90 buses have been added, with five new bus routes and improvements to 50 existing bus services as well. This year, another 190 buses will join those already on the road, which means that half of the 550 buses promised under the five-year programme will be in service by the end of this year. This will allow the Government to roll out more new routes, and improve more bus services across the island, resulting in tangible improvements through shorter waiting times, less crowding, and better connectivity for commuters.
3. Improving Service Reliability
Bus Reliability and Priority Measures

The Government will also work with bus operators to improve the reliability of their buses on the road, so that commuters experience more regular waiting times. Over the next two years, $50 million to improve bus speeds through measures such as adding about 30 kilometres of bus lanes, increasing the Mandatory Give-Way to Buses scheme by another 150 bus stops, and quadrupling the number of bus hubs from 10 to 40 so that more buses can pick up passengers at the same time. 
 
Train Reliability
Train reliability will also be improved. By upgrading trains and preventive maintenance, the Government aims to work with operators to halve the train withdrawal rate, from one withdrawal per 1,000 trips to one withdrawal per 2,000 trips.
4.   Managing Travel Demand 
To manage peak hour travel demand into the city area, the Government will offer free pre-peak travel on the MRT to shift travel behaviour and reduce crowding on trains during morning peak hours. Starting 24 June 2013, commuters who end their journey before 7.45am on weekdays at 16 designated MRT stations in the city area will travel free. Commuters who exit at these stations between 7.45am and 8:00am will be given a discount of up to 50 cents off their train fare. The Government will be funding this one-year trial.  This will replace the current scheme where commuters who travel off-peak save up to 50 cents off their rail fare if they exit at 14 designated MRT stations in the city centre before 7:45am.
Commuters travelling outside the city centre are not left out. The “Incentives for Singapore’s Commuters” (INSINC) allows commuters to accumulate points for rewards of up to $200, when they travel islandwide at all MRT stations. Commuters will be rewarded with more points for travelling during the morning decongesting hours (6:30am – 7:30am; 8:30am – 9:30am).
The effect of these schemes is expected to continue to grow, as commuters take time to make arrangements to adjust their travel behaviour.  In the meantime, the Government is also working with major employers and institutions to inject more flexibility in their working hours and encourage them to implement the necessary workplace practices to facilitate their employees to travel off-peak.
"
Law & Government,Who is usually informed when an arrest is made in Singapore? ,/factually/content/who-is-usually-informed-when-an-arrest-is-made-in-singapore,"
                Who is usually informed when an arrest is made in Singapore? 
            ","
                    19 Feb 2018
                ","Sources: 
http://statutes.agc.gov.sg/aol/search/display/view.w3p;page=0;query=DocId%3A3b4efefc-6d61-43ac-8b1c-8ccd8b86a972%20%20Status%3Ainforce%20Depth%3A0;rec=0

Other references: 
Information booklet on Police Procedures at http://www.spf.gov.sg/epc/procedures/index.html
"
Transport & Motoring,Why isn't the Government doing anything about rising COE prices?,/factually/content/why-isnt-the-government-doing-anything-about-rising-coe-prices,"
                Why isn't the Government doing anything about rising COE prices?
            ","
                    19 Feb 2018
                ","Certificate Of Entitlement (COE) prices are determined by demand and supply, and can change at each bidding exercise. 
Many things can affect demand, including how well the economy is doing, the launch of new vehicle models, competition between vehicle manufacturers, and others. The supply of COEs is influenced by the current vehicle growth rate and the number of COEs released from vehicles which have been de-registered. COEs released through de-registration usually form the bulk of the 'new' COE supply.
The COE system helps prevent our roads from being gridlocked by setting a quota on the number of new vehicles to be registered in Singapore each year.  Once the COE quota is fixed, the COE price is determined by market forces, matching demand to the supply available. The lower the demand, the lower the COE price and vice versa. If the Government intervenes to manage the price of COEs we would have to release more COEs if COE prices rise significantly. This will lead to an unsustainable vehicle growth and more congested roads due to more vehicles. 
Unlike housing, health or education, car ownership cannot be treated as a basic necessity in land-scarce Singapore. The COE system is not perfect, but it remains the most appropriate way for us to manage our private vehicle numbers. To help all Singaporeans continue to enjoy a high degree of mobility, we are building up our public transport systems with more rail lines and more buses, and also working on improving the reliability of services. We will also continue to encourage premium bus services and improve our taxi system to help bridge the gap between private and mass public transport.
"
Housing,Do HDB’s new flat purchase policies really favour Singaporeans?,/factually/content/do-hdbs-new-flat-purchase-policies-really-favour-singaporeans,"
                Do HDB&rsquo;s new flat purchase policies really favour Singaporeans?
            ","
                    19 Jun 2018
                ","Public housing in Singapore is meant primarily for Singaporean families. That is why HDB’s housing policies differentiate between Singapore Citizens (SC) and Singapore Permanent Residents (SPR) by according greater benefits to SCs than SPRs. 
Applicants wishing to purchase a subsidised flat directly from HDB must have at least one Singapore Citizen listed as a flat buyer in their application. This is to ensure fair opportunity for the Singapore Citizen applicant to enjoy subsidised public housing.
SC-SPR applicants, however, do not get to enjoy the same level of benefits as SC-SC applicants. They have to pay a premium of $10,000, on top of the purchase price, when buying a flat directly from HDB. This amount will only be reimbursed when the SPR spouse takes up citizenship, or when they have a Singapore Citizen child.
SPR-SPR households, on the other hand, do not enjoy the privilege of buying subsidised new flats at all. They can only purchase resale flats from the secondary market at prevailing market prices, and they do not enjoy any form of housing subsidies from the Government. 
HDB's housing policies are formulated to prioritise Singaporeans first, and do not benefit SPRs over Singapore Citizens in any way. You may refer to this infographic to find out more about the differences in benefits for Singapore Citizen and SPR households.  
From HDBSpeaks:

Find out more about the eligibility conditions to purchase a flat directly from HDB.
"
Defence & Security,Must Permanent Residents (PRs) do National Service?,/factually/content/must-permanent-residents-do-national-service,"
                Must Permanent Residents (PRs) do National Service?
            ","
                    19 Feb 2018
                ","All second-generation male SPRs must enlist for National Service, together with their male Singaporean counterparts, once they reach the age of 18. This is stated in the Enlistment Act. If a male SPR does not enlist, he will be considered a NS defaulter.   
All NS defaulters may be subject to a fine not exceeding $10,000 or imprisonment for a term not exceeding 3 years or both. Apart from answering to the Court, NS defaulters below the age of 40 will still have to serve NS. 
Second-generation PRs who renounce their PR status without serving NS will face adverse consequences. Their failure to serve NS will be taken into account should they attempt to apply to return to Singapore to study or work.
"
Immigration & Citizenship,Do you know how many types of foreign workers we have in Singapore? ,/factually/content/do-you-know-how-many-types-of-foreign-workers-we-have-in-singapore,"
                Do you know how many types of foreign workers we have in Singapore? 
            ","
                    19 Feb 2018
                ","We often hear that foreign workers in Singapore compete with Singaporeans for high-paying professional, managerial and executive (or PME) positions.  The government is considering measures to ensure that Singaporeans are treated fairly when it comes to PME jobs and it will reduce the inflow of both S-Pass and EP holding foreigners. In the meantime, it is important to realise that the overwhelming majority of non-resident foreigners in Singapore are here to do jobs that Singaporeans do not want to do.
There are many different types of foreign workers in Singapore. According to population figures from June 2012, work permit holders make up the largest group of foreigners working in Singapore at 46%, followed by dependents of Singapore citizens/PRs/work pass holders (15%), and foreign domestic workers (13%). Employment Pass and S Pass holders make up the smallest groups at about 12% and 9% of the non-resident population respectively.  
While Employment Pass and S Pass holders are usually educated, meet a specific salary criterion, and hold PMET (professionals, managers, executives and technicians) positions, work permit holders usually refers to semi-skilled/unskilled foreign workers that come here to take up jobs that Singaporeans might not wish to do. This helps alleviate labour shortage problems in some industries. 
This essentially means that majority of non-resident foreign workers in Singaporeans are not here to compete with Singaporeans for high-paying professional or managerial jobs. Rather they are here to help build our homes, keep our roads clean, and make our lives just a little more comfortable.
 
 
  
 
 
The following table has more information on the different employment passes and permits: 
 

Pass, Permit or Programme
Type of Applicants
Examples of Eligibility Criteria
Employment Pass (EP)
 
P1 Employment Pass
Professionals, Managers, Executives or Specialists
·         Fixed monthly salary of at least $8,000
·         Possesses acceptable qualifications
P2 Employment Pass
Professionals, Managers, Executives or Specialists
·         Fixed monthly salary  of at least $4,500
·         Possesses acceptable qualifications
Q1 Employment Pass
Professionals, Managers, Executives or Specialists
·         Young graduates from good institutions could qualify if they earn at least $3,000
·         Older applicants would have to command higher salaries to qualify, commensurate with the work experience and quality they are expected to bring
S Pass
S Pass
Mid-level skilled workers (e.g. Technicians)
·         Fixed monthly salary of at least $2,000 (This will be raised to $2,200 and higher from July 2013.)    
·         Older applicants would have to command higher salaries to qualify, commensurate with the work experience and quality they are expected to bring
Work Permits
Work Permit
Semi-skilled or unskilled Foreign Workers
 -
Work Permit
(for Foreign Domestic Workers)
Foreign Domestic Workers or helpers
 -
"
Education & Employment,3 things Singaporeans should know if they wish to study in local universities,/factually/content/3-things-singaporeans-should-know-if-they-wish-to-study-in-local-universities,"
                3 things Singaporeans should know if they wish to study in local universities
            ","
                    19 Feb 2018
                ","
 

"
Housing,Why does HDB continue to allow Executive Condominiums (ECs) to be built?,/factually/content/why-does-hdb-continue-to-allow-executive-condominiums-ecs-to-be-built,"
                Why does HDB continue to allow Executive Condominiums (ECs) to be built?
            ","
                    19 Feb 2018
                ","Executive Condominiums are not HDB flats. They are sold with certain restrictions so that they are available at affordable prices within the reach of middle-income Singapore families who have aspirations of owning private housing, as ECs become private property after 10 years.   
Prospective EC buyers are subject to initial eligibility and ownership restrictions, which are similar to those imposed on buyers of subsidised HDB flats. For instance, only a Singapore citizen family nucleus is entitled to purchase an EC, and buyers have to meet a five-year minimum occupation period before they are allowed to sell or rent out the EC. 
Recent news reports have highlighted a penthouse unit at Heron Bay EC and the presidential unit at CityLife @ Tampines, which were sold at $1.77 million and $2.05 million respectively. The prices and sizes of these exceptional units elicited responses from many, who cast doubts on the affordability of EC units, as well as the types of units being offered in recent EC projects. 
To address such excesses, the Ministry of National Development recently introduced new measures, so that the EC scheme can continue to remain relevant to Singaporean families. These include:
a) The maximum strata floor area of new EC units will be capped at 160 square metres. 
b) Sales of new dual-key EC units will be restricted to multi-generational families only. 
c) Private enclosed spaces and private roof terraces will be treated as gross floor area (GFA). The GFA of such spaces in non-landed residential developments, including ECs, will be counted as part of the ‘bonus’ GFA of a residential development and subject to payment of charges. This is in line with the treatment of balconies under URA’s current guidelines. Details of this measure are at www.ura.gov.sg/circulars/text/dc13-01.htm. 
d) Developers of future EC sale sites from the Government Land Sales programme will only be allowed to launch units for sale 15 months from the date of award of the sites or after the physical completion of foundation works, whichever is earlier.
These measures should help to ensure that ECs remain a viable option for middle-class Singaporean households. 
For its part, HDB is committed to providing sufficient new flat supply in 2013 to meet demand. HDB will launch at least 23,000 flats, instead of 20,000 as originally planned, across various housing estates in Singapore. The projected supply, along with planned EC launches, will offer prospective flat buyers more choices across a range of different budgets.
"
Environment,Will the Marina Barrage cause flooding in Orchard Road?,/factually/content/will-the-marina-barrage-cause-flooding-in-orchard-road,"
                Will the Marina Barrage cause flooding in Orchard Road?
            ","
                    19 Feb 2018
                ","Some have speculated that the Marina Barrage might have caused the recent increase in flooding episodes in Singapore.  Could it be that during a torrential downpour, the excess storm water could not be discharged into the sea fast enough because of the Barrage, and therefore caused a back up of storm water flow, which resulted in the floods at the upstream areas like Orchard Road?  
The Stamford Canal (about 4.7km in length) starts from the junction of Tanglin Road and Grange Road, through Orchard Road, and drains into Marina Reservoir. The upper reaches of the Stamford Canal like the Cuscaden Road/Orchard Road junction are on elevated grounds which are at least 5m above the mean operating water level of Marina Reservoir. 
The flooding incidents on 16 June 2010 and 5 June 2011 took place at Orchard Road and Tanglin/Cuscaden Road areas respectively.  As the influence of the Marina Barrage cannot reach up to the elevated grounds at Orchard Road and Tanglin/Cuscaden Road (both of which are located too high and too far from the Barrage), the operations of the Marina Barrage did not contribute to the flooding there. 
This fact was affirmed by the Expert Panel on Drainage Design and Flood Protection Measures, which had independently reviewed flood protection and risk management measures that will be implemented in Singapore over the next decade (full report released in Jan 2012). Simulations of various scenarios based on actual rainfall events during those flooding incidents in June 2010 and June 2011 showed that flooding would have occurred with or without the Marina Barrage. The panel also concluded that the flood occurred due to the fact that Stamford Canal was not able to cope with the volume of rainfall on these two days. In reviewing rainfall records over the last 30 years, the panel had found that there is a trend towards higher rainfall intensities and an increased frequency of intense rains. 
So does the Marina Barrage ease flooding? 
The Marina Barrage’s flood control function helps to protect low-lying areas in the city from the influence of sea tides by controlling the water level in the Marina Reservoir.  Before the Barrage was built, low-lying areas like Chinatown, Boat Quay, Jalan Besar and Geylang were sometimes flooded during extreme high tides, even when there was no rain. 
How the Marina Barrage works
            
The Marina Barrage has a system of nine crest gates and seven drainage pumps.
When it rains heavily during low tide (i.e., sea water level is lower than the water level in the Marina Reservoir), the crest gates are sequentially opened to release excess storm water into the sea.
When it rains heavily during high tide (i.e., sea water level is higher than the water level in the Marina Reservoir), the seven drainage pumps, each capable of emptying an Olympic-size swimming pool in 60 seconds, will drain excess storm water into the sea instead, and therefore lower the water level in the Marina Reservoir. 
The infographic below illustrates how the Marina Barrage helps in flood control.

To find out more about the functions of the Marina Barrage, visit http://www.pub.gov.sg/Marina/Pages/default.aspx
What is the Government doing to protect the Orchard Road during heavy downpours?

To further strengthen the flood protection for the Orchard Road area which is served by the Stamford Canal, PUB is constructing a detention tank and diversion canal at the upstream section of the Stamford Canal catchment area. The new diversion canal will divert stormwater from one-third of the catchment towards the Singapore River. This allows the existing Stamford Canal to serve a smaller catchment size, enabling it to better protect the catchment against heavier rains. Complementing the diversion canal is a detention tank which will be built to capture excess stormwater from the existing drains along Holland Road. Works for the detention tank are expected to complete by end 2015, while the diversion canal will be ready by end 2017.  

"
Economy & Finance,How is the government helping to mitigate inflation in Singapore?,/factually/content/how-is-the-government-helping-to-mitigate-inflation-in-singapore,"
                How is the government helping to mitigate inflation in Singapore?
            ","
                    31 Jul 2018
                ","

Inflation is measured by the increase in the Consumer Price index (CPI). The CPI basket consists of more than 6,500 brands/varieties of goods and services commonly purchased by resident households. 
Some of the components of CPI are affected by the cost of imported goods (e.g. food), while some are affected by domestic cost pressures. 
The government keeps a close watch on consumer price developments from both imported and domestic inflation, and undertakes several measures to mitigate them.  
Measures to mitigate imported inflation
The Monetary Authority of Singapore (MAS) has allowed the Singapore dollar to appreciate so as to help mitigate higher prices of imports such as food and oil. 
To keep the costs of prepared food affordable, the National Environment Agency (NEA) intends to adopt management models that can help keep costs low.  For example, NTUC Foodfare, a social cooperative, was appointed to run the new Bukit Panjang Hawker Centre on a not-for-profit basis.  In addition, NEA plans to add 10 more hawker centres across Singapore to provide affordable food options to Singaporeans.  
In addition, the Retail Price Watch Group (RPWG), headed by Senior Minister of State for Trade & Industry and National Development, Mr Lee Yi Shyan, keeps a close watch on any excessive price increases of food and other daily necessities. For non-prepared food, the RPWG has worked with supermarkets, wholesalers, hawkers, and food courts to promote the availability of cheaper alternatives.  The RPWG’s supermarket members – NTUC FairPrice, Giant and Sheng Siong – have for various periods held constant the low prices of their housebrand products to help consumers cope with rising costs.
Measures to mitigate domestic cost pressures

While housing prices are not part of CPI inflation, they are of concern to young families, especially those that do not yet own their homes. The Ministry of National Development has taken significant steps to boost the supply of Build-to-Order (BTO) HDB flats and private residential property. The subsidies for HDB flats are also regularly reviewed to ensure that public housing are affordable, especially for first-time buyers. The government has also implemented a number of demand management measures, and will continue to monitor the housing market closely.
To manage the possible impact of a tight labour market, the government works with unions and companies to raise productivity. This can be achieved through improving the production processes of companies, as well as encouraging workers to upgrade their skill sets. With enhanced productivity, firms will be able to pay their workers better salaries and cope with higher business costs, without the need to pass on the increased costs to consumers. 
At the individual household level, the government also provides assistance to help mitigate the impact of rising costs on households.  For example, under the permanent GST Voucher Scheme, U-Save rebates are provided every quarter to help HDB households directly offset their utilities bills. Although these grants do not reduce CPI inflation, they help to cushion the impact of the rising cost of living experienced by households.
The government will continue to keep a close watch on inflation, and is prepared to introduce additional measures if necessary.
"
Education & Employment,Why bring in skilled foreigners when they compete with Singaporeans for good jobs?,/factually/content/why-bring-in-skilled-foreigners-when-they-compete-with-singaporeans-for-good-jobs,"
                Why bring in skilled foreigners when they compete with Singaporeans for good jobs?
            ","
                    19 Feb 2018
                ","

Source: National Population and Talent Division’s (NPTD’s) estimates using data from Ministry of Manpower; Non-resident PMETs comprise EP and S Pass holders 
Distribution of foreign workers in the economy (excluding Foreign Domestic Workers)
As of Dec 2011

Source: MOM 
Middle- to higher-skilled foreign labour in the PMET workforce complements Singaporean workers by bringing along relevant skills to create new industries and job opportunities. Skilled foreign manpower helps to fill the labour gap and facilitate the transfer of skills to locals. This allows us to anchor new industries such as biomedical sciences, digital media animation and aerospace. Equipped with the appropriate skills and expertise, over time, locals will be able to take on the good jobs created within these industries. As of June 2012, they constitute about 21% of the non-resident population in Singapore. Majority of the non-resident population (59%) are work permit holders and foreign domestic workers.
Non-Resident Population by Pass Types, as of June 2012



Source: NPTD’s Population in Brief 2012
When bringing in foreign manpower, we take into consideration each sector’s manpower needs, the skill sets of our local workforce to fill those jobs and the types of foreign workers needed to complement locals. Measures in place, such as levies and quotas help manage the inflow of foreign workers. For higher skilled foreigners, they must meet the required salary and qualifications level in order to qualify for an Employment Pass (EP) to work in Singapore. This will ensure that foreigners who come to Singapore will ultimately contribute to the creation of new industries and opportunities for Singaporeans.
For more information, please refer to http://www.mti.gov.sg/MTIInsights/Pages/MTI-Occasional-Paper-on-Population-and-Economy.aspx   

"
Economy & Finance,How does the shrinking local workforce affect Singapore's economy? ,/factually/content/how-does-the-shrinking-local-workforce-affect-singapores-economy,"
                How does the shrinking local workforce affect Singapore&#39;s economy? 
            ","
                    19 Feb 2018
                ","With our growing number of senior citizens, healthcare and long term care spending is expected to increase. As a result, the smaller base of economically active citizens may have to pay higher taxes to support the ageing population and their growing needs. 
Singapore is a key hub for many businesses serving the Asia markets. They may consider moving out of Singapore if manpower needs are not met. As businesses scale back, job opportunities for Singaporeans will be limited. With less attractive job opportunities in Singapore, more highly-skilled Singaporeans will start to seek opportunities elsewhere. This may cause a vicious cycle, further shrinking the size of the workforce. 
As the economy stagnates, it will be difficult to garner fiscal resources to invest in physical infrastructure for instance, or to address the needs of lower-income Singaporeans. Without economic growth, social and welfare programmes can quickly become unsustainable. 
Besides just getting older and smaller, our citizen population is also growing increasingly educated. We will need to decide how to meet the challenges of our demographic changes and its impact on economic growth. This will allow us to calibrate our policies so that we can continue to create good job opportunities for Singaporeans in the long run. 
For more information, please refer to http://www.mti.gov.sg/MTIInsights/Pages/MTI-Occasional-Paper-on-Population-and-Economy.aspx   
"
